,Date,Cumulative E disp,Cumulative N disp,Name,Source
0,2016-02-06 00:00:00,0.0,0.0,Peg 05,cosicorr
1,2016-11-22 00:00:00,0.3892762362957001,-7.065429210662842,Peg 05,cosicorr
2,2017-11-22 00:00:00,-1.9383180141448975,-7.45207405090332,Peg 05,cosicorr
3,2019-02-25 00:00:00,-0.6319252252578735,-1.5445308685302734,Peg 05,cosicorr
4,2019-11-22 00:00:00,-1.6565083265304565,-6.374660015106201,Peg 05,cosicorr
5,2021-01-30 00:00:00,0.6524072885513306,-3.2986629009246826,Peg 05,cosicorr
6,2016-02-06 00:00:00,0.0,0.0,Peg 11,cosicorr
7,2016-11-22 00:00:00,2.4349348545074463,-0.6328833699226379,Peg 11,cosicorr
8,2017-11-22 00:00:00,2.6740312576293945,-2.0368964672088623,Peg 11,cosicorr
9,2019-02-25 00:00:00,-0.2464306354522705,-4.793219089508057,Peg 11,cosicorr
10,2019-11-22 00:00:00,1.6573501825332642,-4.078771591186523,Peg 11,cosicorr
11,2021-01-30 00:00:00,2.1050896644592285,-6.727142333984375,Peg 11,cosicorr
12,2016-02-06 00:00:00,0.0,0.0,Peg 14,cosicorr
13,2016-11-22 00:00:00,2.8378918170928955,-2.3817734718322754,Peg 14,cosicorr
14,2017-11-22 00:00:00,4.0260910987854,-6.467042922973633,Peg 14,cosicorr
15,2019-02-25 00:00:00,1.6456303596496582,-11.036519050598145,Peg 14,cosicorr
16,2019-11-22 00:00:00,4.386490821838379,-13.115410804748535,Peg 14,cosicorr
17,2021-01-30 00:00:00,3.7768993377685547,-14.37960147857666,Peg 14,cosicorr
18,2016-02-06 00:00:00,0.0,0.0,Peg 21,cosicorr
19,2016-11-22 00:00:00,5.484396934509277,-3.16312313079834,Peg 21,cosicorr
20,2017-11-22 00:00:00,9.199810028076172,-11.283723831176758,Peg 21,cosicorr
21,2019-02-25 00:00:00,9.8958158493042,-20.185571670532227,Peg 21,cosicorr
22,2019-11-22 00:00:00,13.451589584350586,-23.84404754638672,Peg 21,cosicorr
23,2021-01-30 00:00:00,15.321267127990723,-27.363086700439453,Peg 21,cosicorr
24,2016-02-06 00:00:00,0.0,0.0,Peg 22,cosicorr
25,2016-11-22 00:00:00,-4.922881126403809,1.1315984725952148,Peg 22,cosicorr
26,2017-11-22 00:00:00,0.18836116790771484,-5.750659465789795,Peg 22,cosicorr
27,2019-02-25 00:00:00,-0.34049922227859497,-9.058058738708496,Peg 22,cosicorr
28,2019-11-22 00:00:00,1.7114338874816895,-19.84300994873047,Peg 22,cosicorr
29,2021-01-30 00:00:00,0.5531845092773438,-22.861642837524414,Peg 22,cosicorr
10,2015-07-03,0.0,0.0,Peg 22,gps
9,2015-09-30,3.752000000094995,-2.695000001229346,Peg 22,gps
8,2015-12-07,7.726865999866277,-4.648778000846505,Peg 22,gps
7,2016-03-17,7.809698000084609,-5.473954999819398,Peg 22,gps
6,2016-07-11,9.707503999816254,-6.788191501051188,Peg 22,gps
5,2016-10-23,15.169979999773204,-10.196236500516534,Peg 22,gps
4,2016-12-14,17.295319999800995,-11.462829501368104,Peg 22,gps
3,2017-03-20,18.718166999751706,-12.320733500644565,Peg 22,gps
2,2017-06-29,24.40433299983852,-15.587474500760436,Peg 22,gps
1,2017-10-11,32.9932719997596,-20.382386500947177,Peg 22,gps
0,2018-03-27,42.167439999757335,-25.27914050128311,Peg 22,gps
12,2015-07-03,0.0,0.0,Peg 21,gps
11,2015-09-30,1.2570000002160668,-3.049000001512468,Peg 21,gps
10,2015-12-07,3.358866000082344,-4.993778001517057,Peg 21,gps
9,2016-03-17,2.263073000125587,-5.439065000042319,Peg 21,gps
8,2016-07-11,2.623841000022366,-6.452151501551271,Peg 21,gps
7,2016-10-23,3.850464999908581,-9.414110501296818,Peg 21,gps
6,2016-12-14,4.2682260000146925,-10.421396501362324,Peg 21,gps
5,2017-03-20,4.521760999923572,-11.090236501768231,Peg 21,gps
4,2017-06-29,5.790555999847129,-13.971202501095831,Peg 21,gps
3,2017-10-11,7.89700199989602,-18.246762501075864,Peg 21,gps
2,2018-03-27,9.259646999882534,-20.971088501624763,Peg 21,gps
1,2018-10-09,12.483143999939784,-27.046539501287043,Peg 21,gps
0,2019-12-18,20.35600099992007,-39.37670850101858,Peg 21,gps
12,2015-07-03,0.0,0.0,Peg 14,gps
11,2015-09-30,0.1250000002328306,-0.5750000001862645,Peg 14,gps
10,2015-12-07,0.1938660000450909,-0.8927780007943511,Peg 14,gps
9,2016-03-17,0.2877270001918077,-1.2104699993506074,Peg 14,gps
8,2016-07-11,0.4053809999022633,-1.558058500289917,Peg 14,gps
7,2016-10-23,0.5601359999272972,-2.5195605009794235,Peg 14,gps
6,2016-12-14,0.6341889998875558,-2.911539500579238,Peg 14,gps
5,2017-03-20,0.7227069998625666,-3.2706115003675222,Peg 14,gps
4,2017-06-29,0.8960730000399053,-4.040582500398159,Peg 14,gps
3,2017-10-11,1.1864829999394717,-5.2919415002688766,Peg 14,gps
2,2018-03-27,1.5126320000272244,-6.5181215004995465,Peg 14,gps
1,2018-10-09,1.9645060000475496,-8.288911500945687,Peg 14,gps
0,2020-02-20,2.626092999940738,-10.650951500982046,Peg 14,gps
10,2015-07-03,0.0,0.0,Peg 11,gps
9,2015-12-07,0.0158659999724477,-0.3417780008167028,Peg 11,gps
8,2016-03-17,0.0522460001520812,-0.4604399995878339,Peg 11,gps
7,2016-07-11,0.0373129998333752,-0.6527145011350513,Peg 11,gps
6,2016-10-23,0.1067309998907148,-1.1083825007081032,Peg 11,gps
5,2017-03-20,0.1182249998673796,-1.371377500705421,Peg 11,gps
4,2017-06-29,0.1631769998930394,-1.6502925008535383,Peg 11,gps
3,2017-10-11,0.2515069998335093,-2.1469265008345246,Peg 11,gps
2,2018-03-27,0.3082099999301135,-2.6593175008893013,Peg 11,gps
1,2018-10-09,0.3908769998233765,-3.404787501320243,Peg 11,gps
0,2020-02-20,0.5154319999273866,-4.504336500540376,Peg 11,gps
12,2015-07-03,0.0,0.0,Peg 05,gps
11,2015-09-30,-0.0159999998286366,-0.069000001065433,Peg 05,gps
10,2015-12-07,-0.015133999986574,-0.065778000280261,Peg 05,gps
9,2016-03-17,0.0175730001647025,-0.0753419995307922,Peg 05,gps
8,2016-07-11,-0.0309310001321136,-0.126927500590682,Peg 05,gps
7,2016-10-23,-0.0272630001418292,-0.2224265011027455,Peg 05,gps
6,2016-12-14,-0.0468640001490712,-0.2861585011705756,Peg 05,gps
5,2017-03-20,-0.0167849999852478,-0.2952815005555749,Peg 05,gps
4,2017-06-29,-0.0653940001502633,-0.3470845008268952,Peg 05,gps
3,2017-10-11,-0.0742320001590997,-0.4345645010471344,Peg 05,gps
2,2018-03-27,-0.0927930001635104,-0.507234500721097,Peg 05,gps
1,2018-10-09,-0.1047239999752491,-0.6717345006763935,Peg 05,gps
0,2019-12-18,-0.1100260000675916,-0.850903500802815,Peg 05,gps
